A jármû gyártmánya;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Összesen;11,7;11,4;10,9;10,5;10,3;10,3;10,4;10,8;11,3;11,9;12,5;13;13,4;13,7;13,9;14,1;14,2;14,4;14,7;15;15,4
;;;;;;;;;;;;;;;;;;;;;
Alfa Romeo;11,2;11,2;11,2;11,1;11,3;11,4;11,7;11,9;12,3;12,7;13,1;13,5;13,8;14;14,3;14,6;14,8;15,1;15,5;15,8;16,2
Audi;13,2;13,1;12,9;12,6;12,5;12,4;12,2;12,4;12,7;13,1;13,3;13,5;13,7;13,8;14;14,2;14,6;14,9;15,3;15,8;16,2
BMW;13,1;12,9;12,3;11,4;11,1;10,7;10,3;10,5;10,9;11,3;11,6;12;12,3;12,6;12,8;13,1;13,3;13,5;13,9;14,2;14,4
Chevrolet;14;14,7;6,5;1,9;1,9;2,3;2,8;3,6;4,5;5,4;6,3;7,1;8,1;9;10;10,9;11,8;12,7;13,6;14,5;15,4
Chrysler;6,7;7,2;7,6;8;8,4;8,9;9,5;10,2;11;11,7;12,4;13,1;13,8;14,4;15,1;15,8;16,5;17,2;17,9;18,7;19,4
Citroën;8,2;7,6;7,4;7,4;7,6;7,8;8,1;8,7;9,4;10,1;10,8;11,4;11,9;12,4;12,9;13,4;14;14,5;15;15,5;16,1
Dacia;16,2;17,3;17,3;15,2;14,4;13,2;12,4;12,1;12;11,4;10,2;9,2;7,9;6,9;6,3;6;5,8;5,7;5,8;6,3;6,9
Daewoo;3,8;4;4,2;5,1;6,1;7,1;8,1;9,1;10;11;12;12,9;13,9;14,8;15,7;16,6;17,5;18,3;19,2;20;20,9
Daihatsu;13,1;13,9;14,6;15,3;16;16,8;17,5;18,3;19,1;19,9;20,5;21,2;21,6;21,6;21,8;21,8;21,8;22;22,3;22,6;22,9
Fiat;10,5;10,4;10,3;10,4;10,5;10,8;11;11,4;11,9;12,6;13,1;13,8;14,4;14,8;15,2;15,6;16;16,2;16,4;16,9;17,3
Ford;11,1;10,9;10,5;9,9;9,5;9,3;9,2;9,5;9,9;10,4;10,9;11,4;11,7;12;12,2;12,5;12,7;13;13,4;13,9;14,4
Honda;9,5;9,6;9,4;9,2;8,9;8,6;8,5;8,9;9,4;10;10,7;11,3;11,9;12,2;12,5;12,9;13,2;13,5;14;14,6;15,2
Hyundai;7,2;6,8;6,4;6,3;6,4;6,8;7;7,5;7,9;8,2;8,7;9;9,3;9,5;9,6;9,6;9,5;9,5;9,7;9,8;10,1
KIA;3,5;3,7;3,8;3,7;3,8;3,7;3,8;4,4;5,1;5,7;6,2;6,7;7;7,4;7,6;7,8;7,9;7,9;8,2;8,3;8,6
Lada;17,3;18;18,5;19;19,6;20,3;21;21,8;22,7;23,7;24,6;25,6;26,6;27,4;26,5;26,4;26,5;26,6;26,8;27,1;27,4
Lancia;13,8;14,1;14,1;14,2;14,3;14,3;14,1;14;14,2;14,4;14,4;14,5;14,5;14,3;14,6;15;15,4;15,8;16,4;16,9;17,5
Land Rover;6,3;6,3;6,5;6,8;7,3;7,9;8,6;9,5;10,3;11,2;11,8;12,2;12,7;13,1;13,5;13,7;14;14,2;14,7;15,3;15,7
Lexus;5,2;4,5;4,2;4,2;3,7;3,6;3,8;4,4;5,1;5,8;6,5;7,1;7,6;8;8,2;8,2;8,2;8,5;8,8;9,2;9,6
Maruti;11,1;12;13;14;15;16;17;17,9;18,9;19,9;20,8;21,8;22,8;23,7;24,7;25,6;26,5;27,5;28,4;29,3;30,3
Mazda;12,9;12,8;12,4;12,2;11,9;11,6;11,1;11,2;11,5;12;12,5;12,8;12,8;12,6;12,6;12,7;12,9;13,1;13,4;13,8;14,2
Mercedes;14,5;14,2;13,8;13,2;13,1;12,9;12,8;13,1;13,6;14,1;14,3;14,5;14,7;14,6;14,5;14,5;14,4;14,4;14,6;14,7;15
Mini;0,7;1,1;1,7;2,2;2,8;3,4;3,9;4,6;5,3;6;6,5;7,2;8;8,8;9,5;10;10,5;11;11,5;12;12,5
Mitsubishi;11,7;12;12,1;12,1;12,1;12,2;12,2;12,6;13,1;13,7;14,3;14,9;15;14,7;14,5;14,6;14,6;14,6;14,8;15,1;15,4
Nissan;8,9;8,7;8,4;8,3;8,4;8,5;8,7;9,1;9,6;10,2;10,8;11,3;11,6;11,8;12,1;12,2;12,4;12,6;13;13,3;13,8
Opel;8,7;8,8;8,9;9;9,3;9,6;10;10,6;11,3;11,9;12,6;13,2;13,8;14,2;14,6;15;15,3;15,6;16;16,5;17
Peugeot;7,1;6,8;6,7;6,9;7,3;7,7;8,1;8,7;9,4;10,2;10,9;11,6;12,2;12,8;13,3;13,8;14,3;14,8;15,3;15,8;16,4
Polski Fiat;17,2;18,1;18,8;19,6;20,5;21,5;22,6;23,7;24,8;26;27,2;28,3;29,7;30,7;30,5;31;31,9;32,9;33,9;34,8;35,7
Renault;7,9;7,6;7,4;7,5;7,9;8,3;8,8;9,3;10;10,6;11,2;11,9;12,5;13;13,4;13,8;14,2;14,6;15;15,5;16,1
Rover;5,8;6,4;7,1;7,8;8,7;9,6;10,5;11,4;12,4;13,3;14,2;15,1;15,9;16,8;17,6;18,5;19,3;20,2;21,1;22;22,8
Saab;7,1;7,2;7,5;7,8;8,1;8,3;8,5;8,9;9,5;10,1;11;11,7;12,5;13,3;14;14,7;15,5;16,3;17,1;17,9;18,7
Seat;5,7;5,8;5,9;6,2;6,6;7,1;7,6;8,4;9,2;10;10,9;11,7;12,4;13,1;13,8;14,4;14,9;15,3;15,8;16,3;16,8
Skoda;13,8;13;11,9;10,8;10,1;9,7;9,5;9,8;10,2;10,5;10,9;11,3;11,6;11,7;11,6;11,8;11,8;12;12,3;12,7;13,2
